stock_code,linear_regression: score,decision_tree: score,random_forest: score,support_vector_machine_linear: score,support_vector_machine_poly: score,support_vector_machine_rbf: score,lstm: score,linear_regression: mean_absolute_error,decision_tree: mean_absolute_error,random_forest: mean_absolute_error,support_vector_machine_linear: mean_absolute_error,support_vector_machine_poly: mean_absolute_error,support_vector_machine_rbf: mean_absolute_error,lstm: mean_absolute_error
HK.01211,0.1575366362563891,-2.12737603880912,-0.6552253657332878,0.1349939622934034,0.0676972507377533,-0.4842314201557331,0.9307147135280268,4.114301315569472,7.1283921298701305,5.340232561038961,4.091687187424936,4.179373381673485,5.081485865010189,1.084822687158616
HK.03988,-0.8119906851524201,-6.309741346862711,-2.364215233920715,-0.2861343893458634,-0.7893781892161214,-0.6113778926641673,0.9343732350146025,0.158482552297228,0.2993292207792207,0.217027135064935,0.1375917944205122,0.1639643981119446,0.1520436349252417,0.0305238023991763
HK.02331,0.8190681863555578,-0.6842684414311442,-0.6230737572035665,0.825600782990864,-4.123078189044382,-3.436448416474949,0.9889358052511468,2.153478125564959,6.358375302857143,6.197276745870131,2.1555659666752565,8.639187814660186,10.69578683607874,0.4764663186751626
HK.02382,0.0603029570914339,-0.674528560647073,-0.4698780081625009,-0.1034229776621187,-1.9108748448575497,-0.9222850929971842,0.9308881884326774,17.470879777726033,26.04245194805195,23.95451636363637,18.793888168628328,29.59085044323228,26.876695338952707,4.780538588430573
HK.00002,-0.0693833818754148,-7.945152265115167,-7.011653094770159,-0.12202423044618,-2.3744301360218896,-51.9170183617398,0.607879641165544,2.880517648729525,10.042441558441556,9.430672727272723,2.950526956060865,5.349968822286535,25.06672257721909,2.0806858682510523
HK.00823,0.6766825631946691,-10.791132278723422,-7.576935279918706,0.6809547601037838,-7.790044744753432,-22.478922787497847,0.96722135864584,4.363180801720174,27.99590208333333,24.20715809895833,4.352706969672624,21.737241434975925,39.04054548138624,1.242990466521551
HK.00883,-0.921331931578538,-2.9720847330103743,-1.8380953987025055,-1.0670872422557718,-1.4610406781463752,-2.073172124600041,0.8919680753492744,0.9615002763460556,1.359168831168831,1.191649350649351,1.001289606429773,1.105686399610978,1.1568025497084615,0.2210064498664777
HK.00003,0.5726041927549865,-2.709791368801951,-2.2790743107048987,0.6099008971426749,-1.1225056033258909,-18.21482327810131,0.9341153323888044,0.6556367119813401,2.010436946493506,1.8384830301298696,0.6277647681343729,1.3509770513578416,3.943173197818358,0.2778490055150204
HK.02313,-0.0896080942399644,-1.2853117252437642,-0.9463516699521526,0.0218373696574334,-53.29827588368868,-82.65834554383709,0.8171788716658879,6.83479480174763,9.630909090909087,8.932376623376625,6.456617171118748,54.61255586934263,69.98687062535687,2.594170237843642
HK.02020,0.8179801917276168,-0.1977957853148149,-0.1895074030741623,0.8186311124735213,-6.572027894407384,-5.947952312104933,0.9715243785810718,5.01093846604522,11.791506493506494,11.725363636363635,4.994549649740365,27.92023390533784,27.630878715489885,1.8534164796316088
